date,state,p,confirmed,city_ibge_code,confirmed_per_100k_inhabitants
2020-04-26,CE,c,10,2302800,
2020-04-26,CE,c,2,2302909,
2020-04-26,CE,c,5,2303006,
2020-04-26,CE,c,2,2303105,
2020-04-26,CE,c,1,2303204,
2020-04-26,CE,c,1,2303303,
2020-04-26,CE,c,1,2303402,
2020-04-26,CE,c,17,2303501,
2020-04-26,CE,c,1,2303600,
2020-04-26,CE,c,233,2303709,
2020-04-26,CE,c,1,2303931,
2020-04-26,CE,c,5,2303956,
2020-04-26,CE,c,9,2304004,
2020-04-26,CE,c,11,2304103,
2020-04-26,CE,c,7,2304202,
2020-04-26,CE,c,1,2304236,
2020-04-26,CE,c,1,2304269,
2020-04-26,CE,c,1,2304277,
2020-04-26,CE,c,42,2304285,
2020-04-26,CE,c,1,2304301,
2020-04-26,CE,c,1,2304350,
2020-04-26,CE,c,4991,2304400,
2020-04-26,CE,c,1,2304459,
2020-04-26,CE,c,5,2304657,
2020-04-26,CE,c,2,2304707,
2020-04-26,CE,c,5,2304905,
2020-04-26,CE,c,2,2304954,
2020-04-26,CE,c,1,2305001,
2020-04-26,CE,c,2,2305209,
2020-04-26,CE,c,33,2305233,
2020-04-26,CE,c,1,2305266,
2020-04-26,CE,c,2,2305332,
2020-04-26,CE,c,3,2305357,
2020-04-26,CE,c,5,2305407,
2020-04-26,CE,c,25,2305506,
2020-04-26,CE,c,24,,
2020-04-26,CE,c,3,2305605,
2020-04-26,CE,c,2,2305654,
2020-04-26,CE,c,1,2305704,
2020-04-26,CE,c,3,2305902,
2020-04-26,CE,c,2,2306009,
2020-04-26,CE,c,1,2306108,
2020-04-26,CE,c,1,2306207,
2020-04-26,CE,c,40,2306256,
2020-04-26,CE,c,2,2306306,
2020-04-26,CE,c,19,2306405,
2020-04-26,CE,c,1,2306504,
2020-04-26,CE,c,2,2306553,
2020-04-26,CE,c,3,2306603,
2020-04-26,CE,c,2,2306702,
2020-04-26,CE,c,1,2306801,
2020-04-26,CE,c,12,2306900,
2020-04-26,CE,c,3,2307007,
2020-04-26,CE,c,1,2307106,
2020-04-26,CE,c,14,2307304,
2020-04-26,CE,c,3,2307403,
2020-04-26,CE,c,1,2307502,
2020-04-26,CE,c,11,2307601,
2020-04-26,CE,c,127,2307650,
2020-04-26,CE,c,55,2307700,
2020-04-26,CE,c,2,2307809,
2020-04-26,CE,c,1,2307908,
2020-04-26,CE,c,7,2308005,
2020-04-26,CE,c,2,2308104,
2020-04-26,CE,c,2,2308302,
2020-04-26,CE,c,1,2308377,
2020-04-26,CE,c,6,2308500,
2020-04-26,CE,c,3,2308708,
2020-04-26,CE,c,4,2309102,
2020-04-26,CE,c,4,2309201,
2020-04-26,CE,c,2,2309409,
2020-04-26,CE,c,8,2309458,
2020-04-26,CE,c,14,2309607,
2020-04-26,CE,c,37,2309706,
2020-04-26,CE,c,1,2309805,
2020-04-26,CE,c,3,2310209,
2020-04-26,CE,c,5,2310258,
2020-04-26,CE,c,2,2310506,
2020-04-26,CE,c,8,2310704,
2020-04-26,CE,c,3,2310803,
2020-04-26,CE,c,5,2310852,
2020-04-26,CE,c,1,2311108,
2020-04-26,CE,c,1,2311231,
2020-04-26,CE,c,1,2311264,
2020-04-26,CE,c,22,2311306,
2020-04-26,CE,c,1,2311355,
2020-04-26,CE,c,10,2311405,
2020-04-26,CE,c,3,2311504,
2020-04-26,CE,c,8,2311603,
2020-04-26,CE,c,2,2311702,
2020-04-26,CE,c,20,2311801,
2020-04-26,CE,c,1,2311959,
2020-04-26,CE,c,4,2312007,
2020-04-26,CE,c,4,2312205,
2020-04-26,CE,c,1,2312304,
2020-04-26,CE,c,17,2312403,
2020-04-26,CE,c,1,2312502,
2020-04-26,CE,c,4,2312601,
2020-04-26,CE,c,4,2312700,
2020-04-26,CE,c,1,2312809,
2020-04-26,CE,c,92,2312908,
2020-04-26,CE,c,1,2313005,
2020-04-26,CE,c,4,2313104,
2020-04-26,CE,c,14,2313302,
2020-04-26,CE,c,4,2313401,
2020-04-26,CE,c,3,2313500,
2020-04-26,CE,c,1,2313559,
2020-04-26,CE,c,1,2313757,
2020-04-26,CE,c,4,2313807,
2020-04-26,CE,c,1,2313906,
2020-04-26,CE,c,3,2314003,
2020-04-26,CE,c,1,2314102,
2020-04-26,CE,s,6260,23,68.54957
2020-04-26,DF,c,1051,5300108,
2020-04-26,DF,c,74,,
2020-04-26,DF,s,1125,53,37.31012
2020-04-26,ES,c,3,3200102,
2020-04-26,ES,c,2,3200201,
2020-04-26,ES,c,16,3200300,
2020-04-26,ES,c,0,3200359,
2020-04-26,ES,c,7,3200409,
2020-04-26,ES,c,3,3200508,
2020-04-26,ES,c,14,3200607,
2020-04-26,ES,c,1,3201001,
2020-04-26,ES,c,8,3201100,
2020-04-26,ES,c,1,3201159,
2020-04-26,ES,c,8,3201209,
2020-04-26,ES,c,188,3201308,
2020-04-26,ES,c,4,3201407,
2020-04-26,ES,c,19,3201506,
2020-04-26,ES,c,13,3201902,
2020-04-26,ES,c,15,3202207,
2020-04-26,ES,c,6,3202306,
2020-04-26,ES,c,19,3202405,
2020-04-26,ES,c,2,3202504,
2020-04-26,ES,c,1,3202603,
2020-04-26,ES,c,94,,
2020-04-26,ES,c,1,3202652,
2020-04-26,ES,c,3,3202801,
2020-04-26,ES,c,1,3203106,
2020-04-26,ES,c,2,3203130,
2020-04-26,ES,c,36,3203205,
2020-04-26,ES,c,1,3203320,
2020-04-26,ES,c,1,3203346,
2020-04-26,ES,c,4,3203908,
2020-04-26,ES,c,3,3204054,
2020-04-26,ES,c,3,3204203,
2020-04-26,ES,c,3,3204302,
2020-04-26,ES,c,3,3204401,
2020-04-26,ES,c,1,3204500,
2020-04-26,ES,c,4,3204559,
2020-04-26,ES,c,6,3204609,
2020-04-26,ES,c,3,3204708,
2020-04-26,ES,c,3,3204807,
2020-04-26,ES,c,12,3204906,
2020-04-26,ES,c,2,3204955,
2020-04-26,ES,c,417,3205002,
2020-04-26,ES,c,2,3205010,
2020-04-26,ES,c,10,3205069,
2020-04-26,ES,c,22,3205101,
